Genus,Subgenus,Species,Author ,Local_Label,Y_Latitude,X_Longitude,Refs,Observations
Afrius,Afrius,purpureus,"Westwood, 1837",KENYA: Taita Taveta ,-3.4,38.44,Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",MALI: Dogo: Macina ,13.99,-5.73,Villiers 1954; Maldès & Pluot-Sigwalt 2004; Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",MALI: Niono ,15.19,-5.95,Maldès & Pluot-Sigwalt 2004; Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",MOZAMBIQUE: Quelimane ,-17.87,36.88,Gerstaecker 1892; Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",NAMIBIA: Damaraland ,-21,17.5,Hesse 1925; Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",NAMIBIA: Oshikoto: Tsumeb ,-19.23,17.71,Hesse 1925; Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",NAMIBIA: Otjozondjupa: Otjiwarongo ,-20.46,16.64,Hesse 1925; Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",NIGERIA: Azara ,8.45,9.5,Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",NIGERIA: Enugu ,6.73,7.5,Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",NIGERIA: Ibadan ,7.37,3.9,Linnavuori 1982; Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",NIGERIA: Ile-Ife ,7.48,4.56,Linnavuori 1982; Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",NIGERIA: Ilorin ,8.49,4.54,Golding 1931; Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",NIGERIA: Kagoro forest ,9.58,8.47,Linnavuori 1982; Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",NIGERIA: Kano ,12.32,8.61,Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",NIGERIA: Kaura: Namoda ,12.56,6.57,Linnavuori 1982; Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",NIGERIA: Mokwa ,9.2,5.33,Linnavuori 1982; Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",NIGERIA: Zaria: Samaru ,11.16,7.63,Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",SENEGAL: Dakar (Dakkar: VIII: Senegal 27: Baum),14.68,-17.45,NMPC,
Afrius,Afrius,purpureus,"Westwood, 1837",SENEGAL: Bambey ,14.78,-16.47,Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",SENEGAL: Cambérène ,14.77,-17.42,Maldès & Pluot-Sigwalt 2004; Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",SENEGAL: Dakar (Dakkar: VIII: Senegal 27: Baum) ,14.68,-17.45,Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",SENEGAL: Dakar: Gorée ,14.667,-17.3983,Villiers 1949; Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",SENEGAL: Dakar: Sébikotane ,14.74,-17.13,Villiers 1949; Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",SENEGAL: Dakar: Thiaroye ,14.75,-17.35,Villiers 1949; Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",SENEGAL: Mboro ,15.13,-16.88,Maldès & Pluot-Sigwalt 2004; Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",SENEGAL: Pout ,14.77,-17.06,Villiers 1949; Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",SENEGAL: Richard-Toll ,16.46,-15.69,Maldès & Pluot-Sigwalt 2004; Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",SOMALIA: Afgooye ,2.13,45.12,Linnavuori 1976; Roell et al. 2019,
Afrius,Afrius,purpureus,"Westwood, 1837",SOMALIA: Jowhar ,2.99,45.56,Mancini 1937; Roell et al. 2019,
