Genus	Species	Local_Label	decimalLongitude	decimalLatitude	Refs
Afrius	Afrius purpureus	SOUTH SUDAN: Latuka 	32.55000	4.64000	Schouteden 1905, 1909; Roell et al. 2019
Afrius	Afrius purpureus	TANZANIA: Arusha: Oldean Rd: 3800 ft 	35.54000	-3.34000	Roell et al. 2019
Afrius	Afrius purpureus	TANZANIA: Bububu 	39.22000	-5.92000	Jeannel 1913; Roell et al. 2019
Afrius	Afrius purpureus	TANZANIA: Kagera 	31.25000	-1.91000	Roell et al. 2019
Afrius	Afrius purpureus	TANZANIA: Kilimanjaro 	37.35000	-3.07000	Schouteden 1905, 1910; Maldès & Pluot-Sigwalt 2004; Roell et al. 2019
Afrius	Afrius purpureus	TANZANIA: Musoma: Banagi Hill 	34.83000	-2.30000	Leston 1952; Roell et al. 2019
Afrius	Afrius purpureus	TANZANIA: Old Shinyanga: Boma 	33.41000	-3.56000	Roell et al. 2019
Afrius	Afrius purpureus	TANZANIA: Usambara 	38.50000	-4.75000	Schouteden 1905; Roell et al. 2019
Afrius	Afrius purpureus	TANZANIA: Morogoro	37.25000	-7.91667	CeNak
Afrius	Afrius purpureus	TOGO: Atakpamé 	1.13000	7.53000	Maldès & Pluot-Sigwalt 2004; Roell et al. 2019
Afrius	Afrius purpureus	UGANDA:: Eastern Mbale Dist.: S of Mt Elgon 	34.18000	1.08000	Roell et al. 2019
Afrius	Afrius purpureus	UGANDA:: Entebe 	32.46000	0.05000	Roell et al. 2019
Afrius	Afrius purpureus	UGANDA:: Kadungulu: Eastern Province 	33.20000	1.51000	Roell et al. 2019
Afrius	Afrius purpureus	UGANDA:: Kampala 	32.58000	0.34000	Roell et al. 2019
Afrius	Afrius purpureus	UGANDA:: Kigezi Dist . Afr. Exp.: Mabungo Camp. 6000 ft: 	31.63000	0.46000	Roell et al. 2019
Afrius	Afrius purpureus	UGANDA:: Mbale: Kumi Rd: 3700 ft S. of L. Salisbury 	34.18000	1.96000	Roell et al. 2019
Afrius	Afrius purpureus	YEMEN: Wādī Risyān 	43.28000	13.56000	Linnavuori 1989; Roell et al. 2019
Alcaeorrhynchus	Alcaeorrhynchus grandis	HONDURAN: Atlántida	-86.51000	15.73000	Arismendi & Thomas 2003
Alcaeorrhynchus	Alcaeorrhynchus grandis	HONDURAN: Comayagua	-87.65000	14.46000	Arismendi & Thomas 2003
Alcaeorrhynchus	Alcaeorrhynchus grandis	HONDURAN: Cortés	-87.91000	15.33000	Arismendi & Thomas 2003
Alcaeorrhynchus	Alcaeorrhynchus grandis	FRENCH GUIANA: Rémire-Montjoly	-52.26000	4.91000	Becker & Grazia 1977
Alcaeorrhynchus	Alcaeorrhynchus grandis	USA: New Mexico, Otero	-105.74000	32.61000	Bundy 2012
Alcaeorrhynchus	Alcaeorrhynchus grandis	USA: New Mexico, Roosevelt	-103.48000	34.02000	Bundy 2012
Alcaeorrhynchus	Alcaeorrhynchus grandis	ARGENTINA:  Buenos Aires, Flores	-58.56000	-34.92000	Dellape et al 2003
Alcaeorrhynchus	Alcaeorrhynchus grandis	ARGENTINA:  Buenos Aires, La Plata	-57.95000	-34.92000	Dellape et al 2003
Alcaeorrhynchus	Alcaeorrhynchus grandis	ARGENTINA:  Corrientes, San Roque	-68.76000	-28.66000	Dellape et al 2003
Alcaeorrhynchus	Alcaeorrhynchus grandis	ARGENTINA:  Entre Ríos, Concordia	-58.02000	-31.39000	Dellape et al 2003
Alcaeorrhynchus	Alcaeorrhynchus grandis	ARGENTINA:  Misiones, Pindapoi	-55.80000	-27.47000	Dellape et al 2003
Alcaeorrhynchus	Alcaeorrhynchus grandis	ARGENTINA: Santa Fé, Piquete	-60.71000	-31.56000	Dellape et al 2003
Alcaeorrhynchus	Alcaeorrhynchus grandis	ARGENTINA:  Santiago del Estero, Río Saladillo	-63.39000	-29.07000	Dellape et al 2003
Alcaeorrhynchus	Alcaeorrhynchus grandis	BOLIVIA:  Santa Cruz, La Concepción	-62.99000	-17.75000	Dellape et al 2003
Alcaeorrhynchus	Alcaeorrhynchus grandis	BRAZIL: Pará, Mato Grosso	-53.00000	-4.00000	Dellape et al 2003
Alcaeorrhynchus	Alcaeorrhynchus grandis	BRAZIL: Espírito Santo	-40.75000	-20.00000	Dellape et al 2003
Alcaeorrhynchus	Alcaeorrhynchus grandis	PARAGUAY:  Concepción, San Carlo	-57.43000	-23.39000	Dellape et al 2003
Alcaeorrhynchus	Alcaeorrhynchus grandis	PARAGUAY:  Central, Villa Elisa	-57.59000	-25.36000	Dellape et al 2003
Alcaeorrhynchus	Alcaeorrhynchus grandis	URUGUAY: Cerro Largo, Fraile	-54.52000	-32.49000	Dellape et al 2003
Alcaeorrhynchus	Alcaeorrhynchus grandis	PARAGUAY:  Canindeyu, Mbaracayu	-54.60000	-24.19000	Faúndez et al 2018
Alcaeorrhynchus	Alcaeorrhynchus grandis	PARAGUAY:  Cordillera, Caacupe	-57.14000	-25.38000	Faúndez et al 2018
Alcaeorrhynchus	Alcaeorrhynchus grandis	PARAGUAY:  Alto Paraná, Puerto Bertoni	-54.59000	-25.66000	Faúndez et al 2018
Alcaeorrhynchus	Alcaeorrhynchus grandis	PARAGUAY:  San Pedro, Cororo	-56.51000	-23.46000	Faúndez et al 2018
Alcaeorrhynchus	Alcaeorrhynchus grandis	PARAGUAY:  San Pedro	-56.66000	-24.13000	Faúndez et al 2018
Alcaeorrhynchus	Alcaeorrhynchus grandis	BRAZIL: São Paulo, Piracicaba	-47.64000	-22.72000	Gapon & Konstantinov 2006
Alcaeorrhynchus	Alcaeorrhynchus grandis	BRAZIL: Rio Grande do Sul, Cruz Alta	-53.60000	-28.64000	Gapon & Konstantinov 2006
Alcaeorrhynchus	Alcaeorrhynchus grandis	FRENCH GUIANA: Maripasoula	-54.03000	3.64000	Lupoli 2019
Alcaeorrhynchus	Alcaeorrhynchus grandis	FRENCH GUIANA: Regina	-52.12000	4.31000	Lupoli 2019
Alcaeorrhynchus	Alcaeorrhynchus grandis	FRENCH GUIANA: Montagne des Chevaux	-52.40000	4.71000	Lupoli 2019
Alcaeorrhynchus	Alcaeorrhynchus grandis	FRENCH GUIANA: Roura	-52.32000	4.72000	Lupoli 2019
Alcaeorrhynchus	Alcaeorrhynchus grandis	FRENCH GUIANA: Saül	-53.20000	3.62000	Lupoli 2019
Alcaeorrhynchus	Alcaeorrhynchus grandis	MEXICO: Veracruz, Atoyac	-96.80000	18.93000	Ortega León 1997
Alcaeorrhynchus	Alcaeorrhynchus grandis	MEXICO: Veracruz, Cuesta de Misantla	-96.89000	19.98000	Ortega León 1997
Alcaeorrhynchus	Alcaeorrhynchus grandis	MEXICO: Veracruz, Xalapa de Enriquez	-96.91000	19.53000	Ortega León 1997
Alcaeorrhynchus	Alcaeorrhynchus grandis	MEXICO: Coahuila, Saltillo	-101.00000	25.42000	Ortega León 1997
Alcaeorrhynchus	Alcaeorrhynchus grandis	MEXICO: Tamaulipas, Gomez Farias	-99.07000	22.96000	Ortega León 1997
Alcaeorrhynchus	Alcaeorrhynchus grandis	MEXICO: San Luis Potosi, Ciudade Valles	-99.01000	21.99000	Ortega León 1997
Alcaeorrhynchus	Alcaeorrhynchus grandis	MEXICO: Jalisco, Guadalajara	-103.39000	20.66000	Ortega León 1997
Alcaeorrhynchus	Alcaeorrhynchus grandis	MEXICO: Jalisco, Chamela	-105.07000	19.52000	Ortega León 1997
Alcaeorrhynchus	Alcaeorrhynchus grandis	MEXICO: Michoacan, Tinganbato	-101.86000	19.49000	Ortega León 1997
Alcaeorrhynchus	Alcaeorrhynchus grandis	MEXICO: Michoacan, La Huacana	-101.87000	18.88000	Ortega León 1997
Alcaeorrhynchus	Alcaeorrhynchus grandis	MEXICO: Veracruz, Almolonga	-96.78000	19.59000	Ortega León 1997
Alcaeorrhynchus	Alcaeorrhynchus grandis	MEXICO: Fortin de Las Flores	-97.00000	18.90000	Ortega León 1997
Alcaeorrhynchus	Alcaeorrhynchus grandis	MEXICO: Veracruz, San Andres Tuxtla	-95.21000	18.44000	Ortega León 1997
Alcaeorrhynchus	Alcaeorrhynchus grandis	MEXICO: Guerrero, Valerio Trujano	-99.45000	18.30000	Ortega León 1997
Alcaeorrhynchus	Alcaeorrhynchus grandis	MEXICO: Morelos, Cuernavaca	-99.23000	18.92000	Ortega León 1997
Alcaeorrhynchus	Alcaeorrhynchus grandis	MEXICO: Morelos, Canon de Lobos	-99.12000	18.85000	Ortega León 1997
Alcaeorrhynchus	Alcaeorrhynchus grandis	MEXICO: Chiapas, El Aguacero	-93.49000	16.78000	Ortega León 1997
Alcaeorrhynchus	Alcaeorrhynchus grandis	MEXICO: Chiapas, Palenque	-91.89000	17.50000	Ortega León 1997
Alcaeorrhynchus	Alcaeorrhynchus grandis	USA: Missouri, Ozark	-92.44000	36.64000	Sites et al 2012
