"","Species","is_endemic"
"288","Tylospilus peruvianus","Endemic"
"289","Tynacantha cuprea","Endemic"
"290","Tynacantha marginata","Endemic"
"291","Tynacantha splendens","Endemic"
"292","Tynacantha umeridenigrata","Endemic"
"293","Tyrannocoris jole","Not Endemic"
"294","Tyrannocoris nigriceps","Endemic"
"295","Tyrannocoris rex","Endemic"
"296","Tyrannocoris rideri","Endemic"
"297","Zicrona americana","Endemic"
"298","Zicrona caerulea","Not Endemic"
"299","Zicrona hisarensis","Endemic"
