Species,Number_Cont,Conts,Number_Cntr,Cntrs,Count
Podisus mexicanus,1,North America,1,México,8
Podisus mucronatus,1,North America,3,Cuba - Dominican Republic - United States,31
Podisus neglectus,1,North America,1,United States,2
Podisus nigrispinus,1,South America,7,Argentina - Brazil - Bolivia - French Guiana - Paraguay - Uruguay - Venezuela,36
Podisus nigriventris,1,North America,4,Costa Rica - Guatemala - Honduras - México,10
Podisus pallipes,1,South America,1,Venezuela,1
Podisus placidus,1,North America,2,Canada - United States,202
Podisus rostralis,1,South America,2,Bolivia - French Guiana,3
Podisus sagitta,2,South America - North America,13,Colombia - Costa Rica - Cuba - Dominican Republic - Dominica - Guatemala - Haiti - Honduras - Jamaica - México - Nicaragua - Puerto Rico - United States,63
Podisus sculptus,2,South America - North America,2,French Guiana - Panama,2
Podisus semialbus,1,South America,1,Brazil,1
Podisus serieventris,1,North America,2,Canada - United States,126
Podisus sordidus,1,South America,1,Ecuador,1
Podisus subferrugineus,1,North America,3,Cuba - Dominican Republic - Jamaica,4
Podisus thomasi,2,South America - North America,4,Colombia - Ecuador - Panama - Venezuela,12
Podisus tinctus,1,South America,1,Colombia,1
Podisus trucidatus,1,North America,1,Honduras,1
Podisus ventralis,1,South America,3,Colombia - Ecuador - Venezuela,6
Ponapea arachnoides,1,Oceania,1,Micronesia,1
Pseudanasida fallax,1,Asia,1,India,1
Pseudanasida ikrami,1,Asia,1,Pakistan,1
Rhacognathus americanus,1,North America,1,United States,5
Rhacognathus callosus,1,Asia,1,Mongolia,1
Rhacognathus corniger,1,Asia,1,North Korea,1
Rhacognathus punctatus,2,Europe - Asia,9,Belgium - China - France - Germany - Russia - Slovakia - Spain - Turkey - Denmark,23
Spockia tagala,1,Asia,1,Philippines,2
Stilbotes goulae,1,Asia,1,Philippines,1
Stilbotes semperi,1,Asia,1,Philippines,4
Stiretrus anchorago,2,South America - North America,4,Colombia - Honduras - México - United States,146
Stiretrus bifrenatus,1,South America,2,Ecuador - Peru,2
Stiretrus cinctellus,1,South America,3,Brazil - Colombia - Ecuador,4
Stiretrus decastigmus,1,South America,4,Argentina - Brazil - Paraguay - Uruguay,43
Stiretrus decemguttatus,1,South America,6,Argentina - Bolivia - Brazil - French Guiana - Paraguay - Venezuela,56
Stiretrus erythrocephalus,1,South America,2,Argentina - Brazil,38
Stiretrus loratus,1,South America,5,Argentina - Brazil - French Guiana - Paraguay - Peru,9
Stiretrus quinquepunctatus,1,North America,1,Dominican Republic,1
Supputius cincticeps,1,South America,5,Argentina - Brazil - Paraguay - Uruguay - Venezuela,60
Supputius pulchicornis,1,North America,1,México,2
Supputius typicus,2,South America - North America,7,Brazil - Costa Rica - Honduras - México - Panama - Peru - Venezuela,12
Troilus luridus,2,Asia - Europe,8,China - Czechia - Germany - Portugal - Russia - Slovakia - Spain - Turkey,32
Troilus testaceus,1,Asia,1,China,2
Tylospilus acutissimus,2,North America - South America,10,Bahamas - Brazil - Costa Rica - Curaçao - Dominican Republic - Honduras - México - United States - Puerto Rico - Venezuela,171
Tylospilus armatusimilis,1,South America,1,Uruguay,2
Tylospilus chilensis,1,South America,2,Bolivia - Chile,2
Tylospilus cloelia,2,South America - North America,4,Argentina - Brazil - French Guiana - México,19
Tylospilus distans,1,South America,3,Argentina - Brazil - Chile,8
Tylospilus gaumeri,1,North America,1,México,1
Tylospilus megaspilus,1,South America,1,Brazil,1
Tylospilus nigrobinotatus,1,South America,2,Argentina - Uruguay,16
Tylospilus peruvianus,1,South America,4,Brazil - Colombia - French Guiana - Peru,6
Tynacantha cuprea,1,South America,1,Brazil,1
Tynacantha marginata,1,South America,8,Argentina - Bolivia - Venezuela - Brazil - Colombia - Paraguay - Peru - Uruguay,118
Tynacantha splendens,1,North America,2,Costa Rica - Panama,2
Tynacantha umeridenigrata,1,South America,1,Brazil,1
Tyrannocoris jole,2,North America - South America,4,Dominican Republic - French Guiana - Honduras - México,10
Tyrannocoris nigriceps,1,South America,4,Argentina - Brazil - Colombia - French Guiana,14
Tyrannocoris rex,1,South America,2,Brazil - French Guiana,13
Tyrannocoris rideri,1,North America,1,Puerto Rico,1
Zicrona americana,1,North America,2,México - United States,17
Zicrona caerulea,4,Europe - Asia - North America - Africa,18,Bulgaria - China - Czechia - India - Jammu and Kashmir - Indonesia - Iraq - Japan - United States - Pakistan - Russia - Slovakia - Spain - Switzerland - Taiwan - Tanzania - Turkey - Uganda,88
Zicrona hisarensis,1,Asia,1,India,1
