"","Species","is_endemic","n"
"216","Platynopiellus thomsonii","Not Endemic",2
"217","Platynopus calliger","Endemic",1
"218","Platynopus carbonarius","Endemic",1
"219","Platynopus dalpadoides","Not Endemic",2
"220","Platynopus indicus","Endemic",1
"221","Platynopus melanoleucus","Not Endemic",4
"222","Podisus aenescens","Not Endemic",22
"223","Podisus affinis","Not Endemic",14
"224","Podisus australis","Not Endemic",2
"225","Podisus boriquensis","Endemic",1
"226","Podisus brevispinus","Not Endemic",228
"227","Podisus congrex","Not Endemic",33
"228","Podisus cornutus","Endemic",1
"229","Podisus crassimargo","Endemic",1
"230","Podisus curvispinus","Endemic",1
"231","Podisus distinctus","Endemic",9
"232","Podisus falcatus","Not Endemic",3
"233","Podisus fuscescens","Not Endemic",87
"234","Podisus graziae","Not Endemic",6
"235","Podisus gundlachii","Endemic",1
"236","Podisus insignis","Endemic",1
"237","Podisus mactans","Endemic",1
"238","Podisus maculiventris","Not Endemic",423
"239","Podisus mexicanus","Endemic",8
"240","Podisus mucronatus","Not Endemic",31
"241","Podisus neglectus","Endemic",2
"242","Podisus nigrispinus","Not Endemic",36
"243","Podisus nigriventris","Not Endemic",10
"244","Podisus pallipes","Endemic",1
"245","Podisus placidus","Not Endemic",202
"246","Podisus rostralis","Not Endemic",3
"247","Podisus sagitta","Not Endemic",63
"248","Podisus sculptus","Not Endemic",2
"249","Podisus semialbus","Endemic",1
"250","Podisus serieventris","Not Endemic",126
"251","Podisus sordidus","Endemic",1
"252","Podisus subferrugineus","Not Endemic",4
"253","Podisus thomasi","Not Endemic",12
"254","Podisus tinctus","Endemic",1
"255","Podisus trucidatus","Endemic",1
"256","Podisus ventralis","Not Endemic",6
"257","Ponapea arachnoides","Endemic",1
"258","Pseudanasida fallax","Endemic",1
"259","Pseudanasida ikrami","Endemic",1
"260","Rhacognathus americanus","Endemic",5
"261","Rhacognathus callosus","Endemic",1
"262","Rhacognathus corniger","Endemic",1
"263","Rhacognathus punctatus","Not Endemic",23
"264","Spockia tagala","Endemic",2
"265","Stilbotes goulae","Endemic",1
"266","Stilbotes semperi","Endemic",4
"267","Stiretrus anchorago","Not Endemic",146
"268","Stiretrus bifrenatus","Not Endemic",2
"269","Stiretrus cinctellus","Not Endemic",4
"270","Stiretrus decastigmus","Not Endemic",43
"271","Stiretrus decemguttatus","Not Endemic",56
"272","Stiretrus erythrocephalus","Not Endemic",38
"273","Stiretrus loratus","Not Endemic",9
"274","Stiretrus quinquepunctatus","Endemic",1
"275","Supputius cincticeps","Not Endemic",60
"276","Supputius pulchicornis","Endemic",2
"277","Supputius typicus","Not Endemic",12
"278","Troilus luridus","Not Endemic",32
"279","Troilus testaceus","Endemic",2
"280","Tylospilus acutissimus","Not Endemic",171
"281","Tylospilus armatusimilis","Endemic",2
"282","Tylospilus chilensis","Not Endemic",2
"283","Tylospilus cloelia","Not Endemic",19
"284","Tylospilus distans","Not Endemic",8
"285","Tylospilus gaumeri","Endemic",1
"286","Tylospilus megaspilus","Endemic",1
"287","Tylospilus nigrobinotatus","Not Endemic",16
"288","Tylospilus peruvianus","Not Endemic",6
"289","Tynacantha cuprea","Endemic",1
"290","Tynacantha marginata","Not Endemic",118
"291","Tynacantha splendens","Not Endemic",2
"292","Tynacantha umeridenigrata","Endemic",1
"293","Tyrannocoris jole","Not Endemic",10
"294","Tyrannocoris nigriceps","Not Endemic",14
"295","Tyrannocoris rex","Not Endemic",13
"296","Tyrannocoris rideri","Endemic",1
"297","Zicrona americana","Not Endemic",17
"298","Zicrona caerulea","Not Endemic",88
"299","Zicrona hisarensis","Endemic",1
