genus,Species,Local_Label,decimalLongitude,decimalLatitude,Refs,country,continent,realm,country_level_record
Afrius,Afrius purpureus,DEMOCRATIC REPUBLIC OF THE CONGO: Tanganika: Mpala ,29.52,-6.73,"Schouteden 1905, 1909; Roell et al. 2019",Democratic Republic of the Congo,Africa,Afrotropic,No
Afrius,Afrius purpureus,EQUATORIAL GUINEA: Bioko [Fernando Po] ,8.66,3.41,Stål 1870; Schouteden 1905; Roell et al. 2019,Equatorial Guinea,Africa,Afrotropic,No
Afrius,Afrius purpureus,ETHIOPIA: Oromiya: Banno,37.4,4.85,Hilgert 1908; Roell et al. 2019,Ethiopia,Africa,Afrotropic,No
Afrius,Afrius purpureus,ETHIOPIA: Ziway Hãyk ,38.83,8,Roell et al. 2019,Ethiopia,Africa,Afrotropic,No
Afrius,Afrius purpureus,GABON:Lambaréné ,10.24,-0.7,Schouteden 1905; Roell et al. 2019,Gabon,Africa,Afrotropic,No
Afrius,Afrius purpureus,GHANA: Ashanti: Tafo ,-1.61,6.74,Roell et al. 2019,Ghana,Africa,Afrotropic,No
Afrius,Afrius purpureus,GHANA: Ashanti: Tafo. 1966-XII-15. (U.V. Trap. Tafo Ghana 15.XII.66),-1.61,6.73,DARC,Ghana,Africa,Afrotropic,No
Afrius,Afrius purpureus,GUINEA: Kindia ,18.86,10.4,Maldès & Pluot-Sigwalt 2004; Roell et al. 2019,Chad,Africa,Afrotropic,No
Afrius,Afrius purpureus,GUINEA-BISSAU: Bolama ,-15.94,11.46,Schouteden 1913; Roell et al. 2019,Guinea-Bissau,Africa,Afrotropic,No
Afrius,Afrius purpureus,IVORY COAST: Adiopodoumé ,-4.13,5.43,"Gillon 1972; Linnavuori 1982, 1989; Roell et al. 2019",Côte d'Ivoire,Africa,Afrotropic,No
Afrius,Afrius purpureus,IVORY COAST: Bingerville ,-3.88,5.35,Schouteden 1964; Gillon 1972; Roell et al. 2019,Côte d'Ivoire,Africa,Afrotropic,No
Afrius,Afrius purpureus,IVORY COAST: Bouaflé ,-5.74,6.99,Gillon 1972; Roell et al. 2019,Côte d'Ivoire,Africa,Afrotropic,No
Afrius,Afrius purpureus,IVORY COAST: Bouaké ,-5.03,7.69,Villiers 1949; Gillon 1972; Roell et al. 2019,Côte d'Ivoire,Africa,Afrotropic,No
